5.9,3.0,5.1,1.8,Iris-virginica
5.8,2.7,4.1,1.0,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
4.9,2.4,3.3,1.0,Iris-versicolor
4.6,3.1,1.5,0.2,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
4.8,3.0,1.4,0.3,Iris-setosa
6.1,2.6,5.6,1.4,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
